Number,RoiName,Values
1,Brain,"(4, 0.05, 4)"
2,Cerebell POST YL,"(4, 0.05, 4)"
3,Cingulum left,"(10, 0.1, 10)"
4,Cingulum right,"(10, 0.2, 10)"
5,Corpus callosum,"(4, 0.05, 4)"
6,CTV,"(10, 0.05, 10)"
7,CTV1,"(10, 0.05, 10)"
8,CTV2,"(10, 0.2, 10)"
9,Fornix,"(4, 0.05, 4)"
10,GTV,"(10, 0.2, 10)"
11,Hypothalamus,"(10, 0.05, 10)"
12,PapezCircle,"(10, 0.05, 10)"
13,PTV1,"(10, 0.05, 10)"
14,PTV2,"(10, 0.05, 10)"
15,Scalp,"(4, 0.05, 4)"
16,TemporalLobeLt,"(10, 0.05, 10)"
17,TemporalLobeRt,"(4, 0.05, 4)"
18,Thalamus ant L,"(10, 0.05, 10)"
19,Thalamus ant R,"(10, 0.05, 10)"
20,Thalamus left,"(10, 0.2, 10)"
21,Thalamus right,"(10, 0.2, 10)"
