Number;RoiName;Values
1;Brain;(5, 0.05, 2)
2;Cerebell POST YL;(5, 0.05, 2)
3;Cingulum left;(10, 0.2, 5)
4;Cingulum right;(10, 0.2, 5)
5;Corpus callosum;(5, 0.05, 2)
6;CTV;(10, 0.05, 5)
7;CTV1;(10, 0.05, 5)
8;CTV2;(10, 0.2, 5)
9;Fornix;(10, 0.2, 5)
10;GTV;(10, 0.2, 5)
11;Hypothalamus;(10, 0.05, 5)
12;PapezCircle;(10, 0.05, 5)
13;PTV1;(10, 0.05, 5)
14;PTV2;(10, 0.05, 5)
15;Scalp;(5, 0.05, 2)
16;TemporalLobeLt;(10, 0.05, 5)
17;TemporalLobeRt;(10, 0.05, 5)
18;Thalamus ant L;(10, 0.05, 5)
19;Thalamus ant R;(10, 0.05, 5)
20;Thalamus left;(10, 0.2, 5)
21;Thalamus right;(10, 0.2, 5)
